entry_id	toned	plain	kind
什麼|什么|shen2 me5	shen2me5	shenme	canonical
今|今|jin1	jin1	jin	canonical
今天|今天|jin1 tian1	jin1tian1	jintian	canonical
介紹|介绍|jie4 shao4	jie4shao4	jieshao	canonical
仍|仍|reng2	reng2	reng	canonical
仍然|仍然|reng2 ran2	reng2ran2	rengran	canonical
仔|仔|zai3	zai3	zai	canonical
仔|仔|zi3	zi3	zi	canonical
他|他|ta1	ta1	ta	canonical
他人|他人|ta1 ren2	ta1ren2	taren	canonical
他們|他们|ta1 men5	ta1men5	tamen	canonical
代|代|dai4	dai4	dai	canonical
代表|代表|dai4 biao3	dai4biao3	daibiao	canonical
令|令|ling3	ling3	ling	canonical
令|令|ling4	ling4	ling	canonical
以|以|yi3	yi3	yi	canonical
以上|以上|yi3 shang4	yi3shang4	yishang	canonical
以下|以下|yi3 xia4	yi3xia4	yixia	canonical
以來|以来|yi3 lai2	yi3lai2	yilai	canonical
以前|以前|yi3 qian2	yi3qian2	yiqian	canonical
以及|以及|yi3 ji2	yi3ji2	yiji	canonical
以外|以外|yi3 wai4	yi3wai4	yiwai	canonical
以後|以后|yi3 hou4	yi3hou4	yihou	canonical
以為|以为|yi3 wei2	yi3wei2	yiwei	canonical
件|件|jian4	jian4	jian	canonical
任|任|ren4	ren4	ren	canonical
任何|任何|ren4 he2	ren4he2	renhe	canonical
任務|任务|ren4 wu5	ren4wu5	renwu	canonical
份|份|fen4	fen4	fen	canonical
企業|企业|qi3 ye4	qi3ye4	qiye	canonical
伊|伊|yi1	yi1	yi	canonical
伯|伯|bai3	bai3	bai	canonical
伯|伯|bo2	bo2	bo	canonical
估計|估计|gu1 ji4	gu1ji4	guji	canonical
似乎|似乎|si4 hu1	si4hu1	sihu	canonical
但|但|dan4	dan4	dan	canonical
但是|但是|dan4 shi4	dan4shi4	danshi	canonical
佈|布|bu4	bu4	bu	canonical
位|位|wei4	wei4	wei	canonical
位於|位于|wei4 yu2	wei4yu2	weiyu	canonical
位置|位置|wei4 zhi5	wei4zhi5	weizhi	canonical
低|低|di1	di1	di	canonical
住|住|zhu4	zhu4	zhu	canonical
何|何|he2	he2	he	canonical
作|作|zuo1	zuo1	zuo	canonical
作|作|zuo4	zuo4	zuo	canonical
作出|作出|zuo4 chu1	zuo4chu1	zuochu	canonical
作品|作品|zuo4 pin3	zuo4pin3	zuopin	canonical
作家|作家|zuo4 jia1	zuo4jia1	zuojia	canonical
作戰|作战|zuo4 zhan4	zuo4zhan4	zuozhan	canonical
作為|作为|zuo4 wei2	zuo4wei2	zuowei	canonical
作用|作用|zuo4 yong4	zuo4yong4	zuoyong	canonical
作者|作者|zuo4 zhe3	zuo4zhe3	zuozhe	canonical
你|你|ni3	ni3	ni	canonical
你們|你们|ni3 men5	ni3men5	nimen	canonical
使|使|shi3	shi3	shi	canonical
使得|使得|shi3 de5	shi3de5	shide	canonical
使用|使用|shi3 yong4	shi3yong4	shiyong	canonical
來|来|lai2	lai2	lai	canonical
來到|来到|lai2 dao4	lai2dao4	laidao	canonical
來源|来源|lai2 yuan2	lai2yuan2	laiyuan	canonical
來自|来自|lai2 zi4	lai2zi4	laizi	canonical
例如|例如|li4 ru2	li4ru2	liru	canonical
供|供|gong1	gong1	gong	canonical
供|供|gong4	gong1	gong	variant
供|供|gong4	gong4	gong	canonical
依|依|yi1	yi1	yi	canonical
依然|依然|yi1 ran2	yi1ran2	yiran	canonical
便|便|bian4	bian4	bian	canonical
係|系|xi4	xi4	xi	canonical
保|保|bao3	bao3	bao	canonical
保存|保存|bao3 cun2	bao3cun2	baocun	canonical
保持|保持|bao3 chi2	bao3chi2	baochi	canonical
